"alim_grp_code","alim_ssgrp_code","alim_ssssgrp_code","alim_grp_nom_fr","alim_ssgrp_nom_fr","alim_ssssgrp_nom_fr","alim_code","alim_nom_fr","alim_nom_sci","Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)","Eau (g/100 g)","Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)","Glucides (g/100 g)","Lipides (g/100 g)","Sucres (g/100 g)","Fructose (g/100 g)","Galactose (g/100 g)","Glucose (g/100 g)","Lactose (g/100 g)","Maltose (g/100 g)","Saccharose (g/100 g)","Amidon (g/100 g)","Fibres alimentaires (g/100 g)","Polyols totaux (g/100 g)","Cendres (g/100 g)","Alcool (g/100 g)","Acides organiques (g/100 g)","AG saturés (g/100 g)","AG monoinsaturés (g/100 g)","AG polyinsaturés (g/100 g)","AG 4:0, butyrique (g/100 g)","AG 6:0, caproïque (g/100 g)","AG 8:0, caprylique (g/100 g)","AG 10:0, caprique (g/100 g)","AG 12:0, laurique (g/100 g)","AG 14:0, myristique (g/100 g)","AG 16:0, palmitique (g/100 g)","AG 18:0, stéarique (g/100 g)","AG 18:1 9c (n-9), oléique (g/100 g)","AG 18:2 9c,12c (n-6), linoléique (g/100 g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)","Cholestérol (mg/100 g)","Sel chlorure de sodium (g/100 g)","Calcium (mg/100 g)","Chlorure (mg/100 g)","Cuivre (mg/100 g)","Fer (mg/100 g)","Iode (µg/100 g)","Magnésium (mg/100 g)","Manganèse (mg/100 g)","Phosphore (mg/100 g)","Potassium (mg/100 g)","Sélénium (µg/100 g)","Sodium (mg/100 g)","Zinc (mg/100 g)","Rétinol (µg/100 g)","Beta-Carotène (µg/100 g)","Vitamine D (µg/100 g)","Vitamine E (mg/100 g)","Vitamine K1 (µg/100 g)","Vitamine K2 (µg/100 g)","Vitamine C (mg/100 g)","Vitamine B1 ou Thiamine (mg/100 g)","Vitamine B2 ou Riboflavine (mg/100 g)","Vitamine B3 ou PP ou Niacine (mg/100 g)","Vitamine B5 ou Acide pantothénique (mg/100 g)","Vitamine B6 (mg/100 g)","Vitamine B9 ou Folates totaux (µg/100 g)","Vitamine B12 (µg/100 g)"
"01","0101","000000","entrées et plats composés","salades composées et crudités","-","26263","Salade de riz à la niçoise, avec sauce, préemballée","","-","-","-","-","73,7","4,45","4,45","15,8","6,08","1,35","0,5","-","0,48","-","< 0,3","0,38","-","1,5","-","1,46","0","-","0,63","2,51","0,97","-","-","-","-","-","-","-","-","-","0,64","0,3","-","-","-","-","0,76","-","-","-","-","-","-","-","-","-","-","300","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01","0101","000000","entrées et plats composés","salades composées et crudités","-","26269","Taboulé ou Salade de couscous au poulet, préemballé","","-","-","-","-","62,6","6,4","6,4","20,6","7,45","2,48","0,8","-","0,8","< 0,2","0,7","< 0,2","16,6","2,02","-","1,59","0","-","0,86","3,78","1,75","< 0,01","< 0,01","< 0,01","< 0,01","0,02","0,02","0,57","0,15","3,78","1,33","0,42","< 0,01","< 0,01","< 0,01","8,24","1,05","18","661","0,1","0,8","< 20","24","0,32","100","190","< 20","424","0,65","< 21","135","< 0,25","1,48","3,22","-","< 0,5","0,14","0,045","1,16","0,4","0,096","96,5","0,1"
"01","0102","000000","entrées et plats composés","soupes","-","25900","Soupe aux lentilles, préemballée à réchauffer","","232","55","232","55","85,8","3,74","3,74","6,6","1,12","0,7","-","-","-","-","-","-","-","1,8","0","1,24","0","traces","0,45","0,52","0,13","-","-","-","0","0","0,02","0,27","0,16","-","-","-","-","-","-","3","0,36","25","-","0,17","1,07","4","19","0,24","74","144","16,1","143","0,61","0","430","-","0","-","-","1,7","0,07","0,045","0,55","0,14","0,09","20","0,12"
"01","0102","000000","entrées et plats composés","soupes","-","25901","Soupe à la volaille et aux légumes, préemballée à réchauffer","","129","30,8","129","30,8","-","3,09","3,09","2,6","0,8","1,2","-","-","-","-","-","-","-","0,4","0","1,75","0","traces","0,3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,75","-","-","-","-","-","-","-","-","-","-","700","-","-","-","-","-","-","-","-","-","-","1,9","-","-","-","0,11"
"01","0102","000000","entrées et plats composés","soupes","-","25903","Soupe aux légumes variés, préemballée à réchauffer","","165","39,4","165","39,4","90,2","0,76","0,76","5,05","1,56","1,72","0,29","-","0,29","< 0,2","< 0,2","1,15","2,2","1,1","0","1","0","traces","0,55","0,5","0,11","0,026","0,017","0,0086","0,017","0,026","0,077","0,28","0,094","0,44","0,1","0,0063","< 0,01","< 0,01","< 0,01","3,7","0,69","14","442","0,02","0,14","< 20","5,3","0,04","19","110","< 20","275","0,11","< 21","1710","0","0,62","2,53","-","5,75","0,29","0,062","0,31","0,33","0,16","39,8","0,052"
"01","0102","000000","entrées et plats composés","soupes","-","25904","Soupe de poissons et / ou crustacés, préemballée à réchauffer","","179","42,8","179","42,8","89,4","3,45","3,45","2,88","1,79","0,9","0,3","-","0,3","0,3","< 0,2","< 0,2","1,7","0,69","0","1,66","0","traces","0,58","0,93","0,25","0,01","< 0,01","< 0,01","0,01","0,01","0,07","0,29","0,08","0,71","0,13","0,035","< 0,01","0,035","0,053","30","0,86","130","611","0,07","0,61","70","11","0,05","80","110","< 20","343","0,25","59,8","446","< 0,2","0,32","0,93","-","< 0,5","0,03","0,039","0,63","0,18","0,032","< 5","1,35"
"01","0102","000000","entrées et plats composés","soupes","-","25905","Soupe aux légumes variés, déshydratée reconstituée","","144","34,5","144","34,5","90,9","0,86","0,86","4,43","1,22","1,07","< 0,2","-","< 0,2","0,2","< 0,2","0,7","2,6","1,16","0","1,02","0","traces","0,39","0,45","0,091","0,0045","< 0,01","< 0,01","< 0,01","0,009","0,023","0,3","0,05","0,45","0,081","0,01","< 0,01","< 0,01","< 0,01","2,12","0,69","21","426","0,03","0,19","1","7","0,05","12,5","60","< 20","276","0,12","< 21","261","0","0,19","2,42","-","3,28","0,05","0,24","0,13","0,12","0,044","8,4","0,029"
"01","0102","000000","entrées et plats composés","soupes","-","25907","Soupe aux poireaux et pommes de terre, préemballée à réchauffer","","155","37,1","155","37,1","90,8","0,79","0,79","4,46","1,51","0,81","0,2","-","0,3","0,2","< 0,2","< 0,2","3,2","1,28","0","0,97","0","traces","0,6","0,53","0,27","0,032","0,019","0,013","0,025","0,032","0,089","0,28","0,1","0,53","0,18","0,09","< 0,01","< 0,01","< 0,01","4,73","0,73","16","450","0,02","0,17","< 20","5,6","0,04","16","94","< 20","290","0,13","< 21","120","-","0,28","9,13","-","7,95","0,01","0,03","0,23","0,14","0,23","29,3","0,045"
"01","0102","000000","entrées et plats composés","soupes","-","25908","Soupe à la volaille et aux vermicelles, préemballée à réchauffer","","129","30,8","129","30,8","93,8","1,3","1,3","3,86","1","0,77","-","-","-","-","-","-","-","0,56","0","1,01","0","traces","0,49","0,29","0,18","0","0","0","0","0,001","0,005","0,2","0,053","-","-","-","-","0","0","5","0,82","7,96","-","0,069","0,14","0,5","7,93","0,057","17","30,5","< 10","326","0,1","1","119","0","0,03","0","-","-","0,055","0,045","0,54","0,074","0,02","2","0,02"
"01","0102","000000","entrées et plats composés","soupes","-","25909","Bouillon de viande et légumes type pot-au-feu, prêt à consommer","","19,9","4,8","19,9","4,8","98,1","0,2","0,2","0,1","0,4","0","-","-","-","-","-","-","0,1","0","0","1,09","0","traces","0,2","0,09","0,05","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","1,08","1","-","0","0,1","-","2","0,01","1","15","0","430","-","0","-","-","-","-","-","0","0,06","0,01","0","0,02","0,01","12","0,05"
"01","0102","000000","entrées et plats composés","soupes","-","25910","Soupe à l'oignon, préemballée à réchauffer","","169","40,4","169","40,4","92,7","1,35","1,35","4,93","1,4","1,5","-","-","-","-","-","-","-","1,34","0","1,27","0","traces","0,55","-","0,26","0","0","0","-","0","0","0,069","0,034","-","-","-","-","0","0","0","0,79","12","-","0,054","0,27","-","1","0,098","4","28","-","315","0,25","1","1","0","0,11","0,2","-","0,5","0,013","0,01","0,24","0","0,02","6","0"
"01","0102","000000","entrées et plats composés","soupes","-","25912","Soupe aux champignons, préemballée à réchauffer","","201","48,2","201","48,2","92","0,81","0,81","4,09","3,07","0,91","-","-","-","-","-","-","-","0,52","0","1","0","traces","1,58","0,4","0,96","0,014","0,011","0,0087","0,022","0,024","0,092","0,68","0,15","0,4","0,31","0,01","-","0","0","3,3","0,78","7","490","0,016","0,09","8,4","2","0,018","12","62","-","312","0,06","5,5","0","0,1","0,24","9,6","-","-","0,006","0,008","0,17","0,072","0,007","1","0"
"01","0102","000000","entrées et plats composés","soupes","-","25913","Soupe à la carotte, préemballée à réchauffer","","139","33,2","139","33,2","91,2","0,61","0,61","3,89","1,41","1,82","-","-","-","-","-","-","2,08","1,22","0","1,05","0","traces","0,96","0,36","0,029","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0,65","15","-","-","0,3","-","7","-","20","140","-","259","-","4","3500","-","-","-","-","11","0,05","-","0,65","-","0,08","9","-"
"01","0102","000000","entrées et plats composés","soupes","-","25914","Soupe à la tomate, préemballée à réchauffer","","163","38,7","163","38,7","90,3","0,74","0,74","6,27","0,99","2,95","0,9","-","0,8","< 0,2","< 0,2","1,2","1,8","0,88","0","0,98","0","traces","0,36","0,29","0,3","0,016","0,0079","< 0,01","0,0079","0,016","0,055","0,2","0,063","0,28","0,15","0,02","< 0,01","< 0,01","< 0,01","2,9","0,64","11","416","0,03","0,14","< 20","5,9","0,04","15","130","< 20","259","0,08","< 21","1680","0,6","0,69","1,01","-","6,4","0,01","0,056","0,58","0,2","0,2","23,8","0,01"
"01","0102","000000","entrées et plats composés","soupes","-","25915","Soupe chorba frik, à base de viande et de frik","","263","62,9","263","62,9","85,1","3,75","3,75","5,4","2,5","0,9","-","-","-","-","-","-","3,9","1,9","0","1,2","0","traces","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11","0,84","19","-","0,07","0,97","2","17","0,31","54","157","1,4","337","0,84","4,4","172","0,02","0,6","-","-","3,2","0,03","0,04","0,96","0,18","0,07","16","0,11"
"01","0102","000000","entrées et plats composés","soupes","-","25916","Soupe minestrone, préemballée à réchauffer","","204","48,8","204","48,8","89,4","1,2","1,2","5,6","2","1,7","-","-","-","-","-","-","-","1,8","0","1","0","traces","0,6","0,34","0,29","0,03","0,02","0,01","0,02","0,03","0,05","0,2","0,095","-","-","-","-","0","0","1,5","0,75","33,3","460","0,11","0,56","1","12,5","0,11","34,5","106","< 2,2","300","0,19","0","885","0","0,67","3,2","-","1,25","0,023","0,034","0,44","0,22","0,071","10","0"
"01","0102","000000","entrées et plats composés","soupes","-","25917","Soupe au pistou, déshydratée reconstituée","","128","30,4","128","30,4","89,4","1,2","1,2","5,2","0,35","1,2","-","-","-","-","-","-","4","0,8","0","1,08","0","traces","< 0,2","0,23","0,06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0,64","19","-","0,1","0,4","1","14","0,1","24","132","2,2","256","0,19","0","900","-","0,2","-","-","7","-","-","-","-","0,07","18","-"
"01","0102","000000","entrées et plats composés","soupes","-","25919","Soupe de poissons et / ou crustacés, déshydratée reconstituée","","122","29","122","29","90,6","0,91","0,91","5,09","0,5","1,06","-","-","-","-","-","-","-","0,21","0","1,15","0","traces","0,14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0,63","-","-","-","-","-","-","-","0","0,01","-","253","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01","0102","000000","entrées et plats composés","soupes","-","25923","Soupe asiatique, avec pâtes, déshydratée reconstituée","","126","29,8","126","29,8","93,3","0,97","0,97","5,25","0,44","1,21","-","-","-","-","-","-","-","0,49","0","0,96","0","traces","0,17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0,84","-","-","-","-","-","-","-","-","37,8","-","334","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01","0102","000000","entrées et plats composés","soupes","-","25924","Soupe marocaine, déshydratée reconstituée","","145","34,3","145","34,3","90","1,2","1,2","5,77","0,55","1,49","-","-","-","-","-","-","-","0,72","0","1,08","0","traces","0,23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0,8","-","-","-","-","-","-","-","-","80,5","-","318","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01","0102","000000","entrées et plats composés","soupes","-","25925","Soupe aux poireaux et pommes de terre, déshydratée reconstituée","","110","26,1","110","26,1","92,8","0,63","0,63","4,84","0,41","0,91","-","-","-","-","-","-","-","0,28","0","0,8","0","traces","0,2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0,72","-","417","-","-","-","-","-","0,013","0,023","-","292","-","10","90","-","-","-","-","30","0,07","-","0,8","0,27","-","-","-"
"01","0102","000000","entrées et plats composés","soupes","-","25928","Soupe à la volaille et aux légumes, déshydratée reconstituée","","115","27,3","115","27,3","-","0,99","0,99","4,58","0,44","0,55","-","-","-","-","-","-","-","0,51","0","0,73","0","traces","0,17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0,73","-","-","-","-","-","-","-","-","-","-","292","-","-","-","-","-","-","-","3","-","-","-","-","0,03","8","-"
"01","0102","000000","entrées et plats composés","soupes","-","25930","Bouillon de boeuf, déshydraté reconstitué","","38,3","9,05","38,3","9,05","97,6","0,6","0,6","1,33","0,15","0,33","-","-","-","-","-","-","0","0","0","1,03","0","traces","0,057","0,068","0,0072","0","0","0","-","0,00067","0,0048","0,03","0,021","0,068","0,0072","0","-","0","0","0","0,74","5,25","-","0,041","0,15","-","2","0,027","0,01","0,01","0","290","0,048","0","0","0","0,01","0","-","0","0,0029","0,015","0,55","0,016","0,0083","1,75","0,065"
"01","0102","000000","entrées et plats composés","soupes","-","25932","Soupe aux asperges, déshydratée reconstituée","","148","35,3","148","35,3","90,8","0,6","0,6","5,14","1,31","0,99","-","-","-","-","-","-","2,8","0,28","0","0,91","0","traces","0,73","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0,76","-","-","-","-","-","-","-","0,015","0,035","-","303","-","-","-","-","-","-","-","-","-","-","-","-","-","10","-"
"01","0102","000000","entrées et plats composés","soupes","-","25933","Soupe à la tomate et aux vermicelles, préemballée à réchauffer","","158","37,7","158","37,7","-","1,1","1,1","5,87","0,8","3,43","-","-","-","-","-","-","-","1,3","0","0,77","0","traces","0,5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0,77","-","-","-","-","-","-","-","-","-","-","307","-","-","-","-","-","-","-","20","-","-","-","-","-","-","-"
